x,y,z,tmi,topo
14532140.0,-2301412.0,367.0,-97.0968,286.0
14532010.0,-2301412.0,368.0,-96.12874,289.0
14531830.0,-2301413.0,366.0,-95.53466,290.0
14531700.0,-2301414.0,365.0,-92.5939,290.0
14531520.0,-2301417.0,369.0,-83.02712,292.0
14531380.0,-2301419.0,368.0,-68.11367,288.0
14531250.0,-2301420.0,368.0,-54.17291,288.0
14531070.0,-2301420.0,364.0,-55.56765,288.0
14530940.0,-2301420.0,363.0,-71.60765,290.0
14530810.0,-2301421.0,362.0,-78.65883,289.0
14530630.0,-2301420.0,366.0,-83.0182,292.0
14530500.0,-2301420.0,366.0,-71.05014,291.0
14530320.0,-2301419.0,367.0,-52.39338,291.0
14530190.0,-2301419.0,368.0,-61.40919,292.0
14530020.0,-2301419.0,364.0,-54.75555,294.0
14529890.0,-2301420.0,363.0,-59.78255,295.0
14529720.0,-2301420.0,377.0,-62.11279,306.0
14529590.0,-2301419.0,377.0,-59.09324,301.0
14529420.0,-2301417.0,381.0,-53.38499,301.0
14529300.0,-2301414.0,374.0,-46.33813,294.0
14529130.0,-2301411.0,370.0,-35.61064,292.0
14529000.0,-2301409.0,366.0,-32.57991,289.0
14528820.0,-2301408.0,366.0,-34.90702,291.0
14528690.0,-2301407.0,366.0,-30.89554,293.0
14528520.0,-2301408.0,364.0,-12.2692,292.0
14528390.0,-2301407.0,377.0,12.72616,304.0
14528300.0,-2301408.0,372.0,37.02971,297.0
14532120.0,-2301652.0,364.0,-87.43377,287.0
14531990.0,-2301652.0,364.0,-85.44152,286.0
14531820.0,-2301653.0,361.0,-85.79906,285.0
14531690.0,-2301655.0,364.0,-87.82606,289.0
14531520.0,-2301655.0,365.0,-86.17242,288.0
14531390.0,-2301656.0,366.0,-80.19942,286.0
14531260.0,-2301656.0,366.0,-68.20717,286.0
14531220.0,-2301657.0,366.0,-64.55696,286.0
14531090.0,-2301657.0,364.0,-58.56471,287.0
14530920.0,-2301658.0,358.0,-63.92225,284.0
14530790.0,-2301660.0,362.0,-69.96849,288.0
14530660.0,-2301662.0,365.0,-74.01473,288.0
14530610.0,-2301663.0,364.0,-71.37258,287.0
14530490.0,-2301665.0,371.0,-52.39958,292.0
14530360.0,-2301666.0,368.0,-38.42658,288.0
14530180.0,-2301663.0,369.0,-44.74251,291.0
14530050.0,-2301661.0,369.0,-49.71984,294.0
14529880.0,-2301656.0,371.0,-54.99417,300.0
14529750.0,-2301651.0,378.0,-57.94108,307.0
14529570.0,-2301646.0,370.0,-53.22347,297.0
14529440.0,-2301644.0,376.0,-49.21693,298.0
14529300.0,-2301642.0,384.0,-44.23769,303.0
14529130.0,-2301645.0,375.0,-34.65478,292.0
14528990.0,-2301648.0,375.0,-30.75251,292.0
14528860.0,-2301651.0,376.0,-31.85024,296.0
14528820.0,-2301653.0,377.0,-32.2354,295.0
14528680.0,-2301656.0,373.0,-31.31389,292.0
14528550.0,-2301658.0,370.0,-22.40044,291.0
14528370.0,-2301659.0,374.0,6.185588,295.0
14528230.0,-2301657.0,379.0,46.16795,296.0
14528100.0,-2301653.0,376.0,100.1696,290.0
14527920.0,-2301649.0,375.0,140.8357,291.0
14527780.0,-2301646.0,369.0,108.8373,288.0
14527650.0,-2301644.0,364.0,81.82769,286.0
14527470.0,-2301644.0,365.0,81.4249,288.0
14527340.0,-2301645.0,367.0,80.36565,290.0
14527200.0,-2301648.0,369.0,77.25986,291.0
14527020.0,-2301652.0,370.0,70.80428,291.0
14526890.0,-2301656.0,370.0,61.71461,291.0
14526760.0,-2301658.0,369.0,45.63612,289.0
14526580.0,-2301659.0,373.0,-17.76173,290.0
14526450.0,-2301659.0,374.0,-36.80173,291.0
14526270.0,-2301658.0,370.0,-47.17722,289.0
14526140.0,-2301657.0,372.0,-61.19798,292.0
14526000.0,-2301656.0,373.0,-79.21874,293.0
14525830.0,-2301658.0,372.0,-94.6439,291.0
14525690.0,-2301660.0,372.0,-103.7224,291.0
14525520.0,-2301665.0,372.0,-120.178,291.0
14525380.0,-2301668.0,370.0,-132.2757,290.0
14525250.0,-2301669.0,367.0,-144.343,287.0
14525070.0,-2301670.0,368.0,-158.765,289.0
14524930.0,-2301668.0,369.0,-168.7827,291.0
14524800.0,-2301666.0,365.0,-181.8084,289.0
14524660.0,-2301663.0,367.0,-201.8341,292.0
14524620.0,-2301662.0,366.0,-210.1696,291.0
14524480.0,-2301661.0,363.0,-241.2145,289.0
14524340.0,-2301660.0,362.0,-277.2595,288.0
14524210.0,-2301660.0,366.0,-319.3156,291.0
14524030.0,-2301661.0,373.0,-386.7457,295.0
14523760.0,-2301666.0,372.0,-359.9349,291.0
14523580.0,-2301669.0,369.0,-52.4035,291.0
14523440.0,-2301671.0,366.0,100.4938,289.0
14523300.0,-2301673.0,368.0,286.3911,291.0
14523120.0,-2301673.0,365.0,256.9642,288.0
14522980.0,-2301672.0,365.0,336.9031,288.0
14522840.0,-2301670.0,363.0,159.8693,287.0
14522710.0,-2301668.0,366.0,190.8275,290.0
14522520.0,-2301665.0,371.0,128.4502,294.0
14522380.0,-2301663.0,368.0,33.38913,291.0
14522240.0,-2301663.0,368.0,-12.69119,291.0
14522110.0,-2301665.0,369.0,-28.79074,291.0
14521920.0,-2301666.0,373.0,-8.245027,292.0
14521780.0,-2301668.0,376.0,8.644237,294.0
14521650.0,-2301669.0,375.0,41.54468,293.0
14521510.0,-2301671.0,374.0,69.42588,293.0
14521320.0,-2301672.0,374.0,89.9716,293.0
14521190.0,-2301673.0,372.0,71.87204,292.0
14521050.0,-2301673.0,371.0,-2.216334,292.0
14520910.0,-2301675.0,369.0,-76.32395,291.0
14520720.0,-2301675.0,371.0,-126.7671,293.0
14520580.0,-2301675.0,371.0,-130.8393,291.0
14520450.0,-2301673.0,379.0,-100.9004,297.0
14520310.0,-2301672.0,378.0,-76.94532,294.0
14520130.0,-2301671.0,376.0,-124.345,293.0
14519990.0,-2301670.0,374.0,-157.3899,295.0
